tiempo,Stevens,DS18B20
0.15,25.6,26
0.3,26.2,26.06
0.45,26.2,26
0.6,26.2,26
0.75,26.2,26
0.9,26.2,26
1.05,26.2,26
1.2,26.2,26
1.35,26.2,25.94
1.5,26.2,25.94
1.65,26.2,25.87
1.8,26.2,25.81
1.95,26.2,25.81
2.1,26.2,25.75
2.25,26.2,25.75
2.4,25.9,25.75
2.55,25.9,25.69
2.7,25.9,25.69
2.85,25.9,25.69
3,25.9,25.69
3.15,25.9,25.69
3.3,25.9,25.75
3.45,25.9,25.69
3.6,25.6,25.62
3.75,25.6,25.56
3.9,25.6,25.5
4.05,25.6,25.37
4.2,25.6,25.31
4.35,25.6,25.25
4.5,25.4,25.19
4.65,25.4,25.12
4.8,25.4,25.06
4.95,25.4,25
5.1,25.1,25
5.25,25.1,24.94
5.4,25.1,24.94
5.55,25.1,24.87
5.7,25.1,24.87
5.85,25.1,24.87
6,25.1,24.87
6.15,25.1,24.87
6.3,25.1,24.81
6.45,25.1,24.81
6.6,25.1,24.75
6.75,25.1,24.75
6.9,24.9,24.75
7.05,24.9,24.69
7.2,24.9,24.69
7.35,24.9,24.62
7.5,24.9,24.62
7.65,24.9,24.62
7.8,24.9,24.62
7.95,24.9,24.56
8.1,24.9,24.56
8.25,24.9,24.56
8.4,24.9,24.56
8.55,24.9,24.56
8.7,24.9,24.56
8.85000000000001,24.9,24.5
9,24.7,24.5
9.15,24.7,24.5
9.3,24.7,24.5
9.45,24.7,24.5
9.6,24.7,24.5
9.75,24.9,24.5
9.9,24.9,24.5
10.05,24.7,24.5
10.2,24.7,24.5
10.35,24.7,24.5
10.5,24.7,24.5
10.65,24.7,24.5
10.8,24.7,24.5
10.95,24.7,24.5
11.1,24.7,24.5
11.25,24.7,24.5
11.4,24.7,24.5
11.55,24.7,24.5
11.7,24.7,24.5
11.85,24.7,24.44
12,24.7,24.5
12.15,24.7,24.5
12.3,24.7,24.5
12.45,24.7,24.5
12.6,24.9,24.5
12.75,24.9,24.5
12.9,24.9,24.5
13.05,24.7,24.5
13.2,24.7,24.5
13.35,24.7,24.5
13.5,24.7,24.5
13.65,24.9,24.56
13.8,24.9,24.56
13.95,24.9,24.62
14.1,24.9,24.62
14.25,24.9,24.69
14.4,25.1,24.69
14.55,25.1,24.75
14.7,25.1,24.81
14.85,25.1,24.81
15,25.1,24.87
15.15,25.1,24.94
15.3,25.1,24.94
15.45,25.1,24.94
15.6,25.1,24.87
15.75,25.1,24.87
15.9,25.1,24.81
16.05,25.1,24.81
16.2,25.1,24.75
16.35,25.1,24.75
16.5,24.9,24.62
16.65,24.9,24.62
16.8,24.9,24.56
16.95,24.9,24.56
17.1,24.9,24.56
17.25,24.9,24.5
17.4,24.9,24.44
17.55,24.7,24.44
17.7,24.9,24.44
17.85,24.7,24.37
18,24.7,24.37
18.15,24.7,24.37
18.3,24.7,24.37
18.45,24.7,24.37
18.6,24.7,24.37
18.75,24.7,24.31
18.9,24.7,24.31
19.05,24.7,24.31
19.2,24.7,24.25
19.35,24.7,24.25
19.5,24.7,24.25
19.65,24.4,24.19
19.8,24.7,24.19
19.95,24.4,24.12
20.1,24.4,24.12
20.25,24.4,24.12
20.4,24.4,24.06
20.55,24.4,24.06
20.7,24.4,24.06
20.85,24.4,24
21,24.4,24
21.15,24.4,24
21.3,24.2,23.94
21.45,24.4,23.94
21.6,24.2,23.94
21.75,24.2,23.87
21.9,24.2,23.87
22.05,24.2,23.87
22.2,24.2,23.87
22.35,24.2,23.81
22.5,24.2,23.81
22.65,24.2,23.75
22.8,24.2,23.75
22.95,24.2,23.75
23.1,24.2,23.69
23.25,24.2,23.75
23.4,24.2,23.75
23.55,24.2,23.75
23.7,24.2,23.75
23.85,24.2,23.75
24,24.2,23.75
24.15,24.2,23.75
24.3,24.2,23.75
24.45,24.2,23.75
24.6,24.2,23.75
24.75,24.2,23.75
24.9,24.2,23.75
25.05,24.2,23.75
25.2,24.2,23.75
25.35,24.2,23.69
25.5,24.2,23.62
25.65,23.9,23.56
25.8,23.9,23.5
25.95,23.9,23.5
26.1,23.9,23.44
26.25,23.9,23.44
26.4,23.9,23.37
26.55,23.9,23.44
26.7,23.9,23.44
26.85,23.9,23.5
27,23.9,23.5
27.15,23.9,23.5
27.3,23.9,23.56
27.45,23.9,23.56
27.6,23.9,23.56
27.75,23.9,23.56
27.9,23.9,23.56
28.05,23.9,23.56
28.2,23.9,23.62
28.35,23.9,23.62
28.5,24.2,23.69
28.65,24.2,23.69
28.8,24.2,23.75
28.95,24.2,23.81
29.1,24.2,23.81
29.25,24.2,23.94
29.4,24.4,23.94
29.55,24.4,24
29.7,24.4,24
29.85,24.4,24
30,24.4,24
30.15,24.4,24
30.3,24.4,24
30.45,24.4,23.94
30.6,24.4,23.94
30.75,24.4,23.94
30.9,24.4,23.94
31.05,24.2,23.94
31.2,24.4,23.94
31.35,24.4,23.94
31.5,24.4,23.94
31.65,24.2,23.87
31.8,24.2,23.87
31.95,24.2,23.81
32.1,24.2,23.81
32.25,24.2,23.81
32.4,24.2,23.75
32.55,24.2,23.75
32.7,24.2,23.69
32.85,24.2,23.69
33,23.9,23.69
33.15,23.9,23.69
33.3,23.9,23.62
33.45,23.9,23.62
33.6,23.9,23.56
33.75,23.9,23.56
33.9,23.9,23.5
34.05,23.9,23.5
34.2,23.7,23.44
34.35,23.7,23.37
34.5,23.7,23.31
34.65,23.7,23.25
34.8,23.7,23.12
34.95,23.7,23.12
35.1,23.5,23.06
35.25,23.5,23
35.4,23.5,22.94
35.55,23.5,22.94
35.7,23.3,22.87
35.85,23.3,22.87
36,23.3,22.81
36.15,23.3,22.81
36.3,23.3,22.81
36.45,23.3,22.81
36.6,23.3,22.75
36.75,23.3,22.75
36.9,23.3,22.75
37.05,23.3,22.69
37.2,23.3,22.69
37.35,23,22.69
37.5,23,22.69
37.65,23,22.69
37.8,23,22.69
37.95,23,22.69
38.1,23,22.62
38.25,23,22.62
38.4,23,22.62
38.55,23,22.56
38.7,23,22.62
38.85,23,22.62
39,23,22.62
39.15,23,22.62
39.3,23,22.56
39.45,23,22.56
39.6,23,22.56
39.75,23,22.56
39.9,23,22.56
40.05,23,22.62
40.2,23,22.62
40.35,23,22.69
40.5,23,22.69
40.65,23,22.75
40.8,23.3,22.75
40.95,23.3,22.81
41.1,23.3,22.87
41.25,23.3,22.87
